Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
1.6097187539874699e-18,-1.67410750414697e-17,-7.59047467116729e-06,0.0039140656664493,-0.0127311205745413,-0.0038389185563338,-0.0072356727116077,-5.28406456306765e-05,0.0199520772963353
6.3100975156308695e-18,1.02217140878204e-17,-9.02834038252208e-06,0.0041327335289804,-0.0131111486600977,-0.003679143513441,-0.007221448009371,-6.24749657579839e-05,0.0199505099600699
1.6773269416549402e-17,-1.21533765926054e-17,-1.07069124256127e-05,0.0043500100514847,-0.013490045070197,-0.0035190264771779,-0.007207064052482,-7.21100407075603e-05,0.0199489425015055
2.89749375717744e-18,-4.38648360461585e-18,-1.26603369246857e-05,0.0045653231794464,-0.0138671780200399,-0.003358592277358,-0.0071925216013209,-8.17458651098063e-05,0.0199473749213069
-1.17187525290288e-17,2.0507816925800302e-17,-1.49263925279148e-05,0.0047780869570177,-0.0142418981589361,-0.003197865770196,-0.0071778214218982,-9.13824335978663e-05,0.0199458072201384
-2.49506406868058e-18,2.1892175054229602e-17,-1.75466199383633e-05,0.0049877026673381,-0.0146135395815698,-0.0030368718378964,-0.0071629642857899,-0.0001010197408073,0.0199442393986638
2.79447175692224e-17,-1.2130739922627399e-18,-2.05663915961468e-05,0.0051935599783543,-0.0149814209045708,-0.0028756353882843,-0.0071479509700727,-0.0001106577813763,0.019942671457546
4.7647675118029e-18,5.6521249749385e-18,-2.40349040363656e-05,0.0053950380732484,-0.0153448464049869,-0.0027141813544694,-0.0071327822572587,-0.0001202965499447,0.0199411033974478
5.79498751435489e-18,5.66781973278987e-17,-2.80050737123704e-05,0.0055915067426264,-0.0157031072170226,-0.0025525346945379,-0.0071174589352302,-0.0001299360411545,0.0199395352190312
4.76476751180291e-18,8.616824490094911e-17,-3.25333157217404e-05,0.005782327414063,-0.016055482583213,-0.0023907203912637,-0.0071019817971732,-0.0001395762496491,0.0199379669229577
-9.14320252264882e-18,1.9690079798774699e-16,-3.76791840559579e-05,0.0059668540936159,-0.0164012411560303,-0.0022287634518328,-0.0070863516415116,-0.0001492171700737,0.0199363985098884
-2.1248287552634597e-18,4.05343279441584e-16,-4.35048518696148e-05,0.0061444341936573,-0.0167396423457834,-0.0020666889075728,-0.007070569271841,-0.0001588587970743,0.0199348299804835
-2.09907325519966e-17,7.7775171317658495e-16,-5.00744109626993e-05,0.0063144092219598,-0.0170699377105607,-0.0019045218136804,-0.0070546354968616,-0.0001685011252981,0.0199332613354031
-1.26845837814212e-17,1.3638503115034202e-15,-5.74529712762555e-05,0.0064761153084983,-0.017391372383886,-0.0017422872489396,-0.0070385511303109,-0.0001781441493931,0.0199316925753063
2.96188250733694e-18,2.22627323113975e-15,-6.5705543731133e-05,0.0066288835489146,-0.0177031865357096,-0.0015800103154231,-0.0070223169908974,-0.0001877878640076,0.019930123700852
-9.7870900242438e-18,2.88410089714427e-15,-7.48956931104116e-05,0.0067720401469361,-0.0180046168623352,-0.0014177161381693,-0.0070059339022319,-0.0001974322637905,0.0199285547126985
-7.72665001913985e-19,1.9037821759659e-15,-8.50839516839698e-05,0.0069049063420475,-0.018294898100889,-0.0012554298648282,-0.0069894026927607,-0.0002070773433906,0.0199269856115032
-3.1035377576878404e-17,-4.90532815340109e-15,-9.63259885354792e-05,0.0070267981130118,-0.0185732645639731,-0.0010931766652682,-0.0069727241956966,-0.0002167230974567,0.0199254163979234
2.82022725698604e-17,-2.89956707493258e-14,-0.0001086705335565,0.0071370256518952,-0.0188389516902002,-0.0009309817311358,-0.0069558992489517,-0.0002263695206373,0.0199238470726155
-1.3521637533494699e-18,-9.75700116129427e-14,-0.0001221570581343,0.0072348926063971,-0.0190911976063891,-0.0007688702753632,-0.006938928695068,-0.0002360166075802,0.0199222776362355
9.7870900242438e-18,-2.73205056599574e-13,-0.0001368132158713,0.0073196950897038,-0.0193292446973025,-0.0006068675316138,-0.0069218133811493,-0.0002456643529325,0.0199207080894388
1.00446450248818e-17,-6.92712078312728e-13,-0.000152652045396,0.0073907204559256,-0.0195523411789253,-0.0004449987536597,-0.0069045541587917,-0.0002553127513403,0.0199191384328803
-1.8543960045935602e-17,-1.64446714103667e-12,-0.0001696689326571,0.0074472458346616,-0.0197597426714244,-0.0002832892146858,-0.0068871518840153,-0.0002649617974484,0.0199175686672141
-8.49931502105383e-18,-3.71781647885448e-12,-0.0001878383215086,0.0074885364098134,-0.019950713768077,-0.0001217642065091,-0.0068696074171943,-0.0002746114859004,0.019915998793094
